t	y	u	r
528	1.9999999472388248	-1.7993370542754794e-07	2.0
532	1.9999999009170186	-3.3845361636695194e-07	2.0
536	1.9999998137861346	-6.366280853099326e-07	2.0
540	1.999999649893757	-1.1974914672421903e-06	2.0
544	1.9999993416137294	-2.2524702346078925e-06	2.0
548	1.999998761741885	-4.2368754122768995e-06	2.0
552	1.9999976710083773	-7.969522962480498e-06	2.0
556	1.9999956193488666	-1.4990598037043415e-05	2.0
560	1.9999917601965456	-2.8197174484510226e-05	2.0
564	1.9999845011671802	-5.303862107068152e-05	2.0
568	1.9999708470009427	-9.976514939559804e-05	2.0
572	1.9999451636421555	-0.00018765731146118118	2.0
576	1.9998968534848665	-0.0003529816449761163	2.0
580	1.9998059825315515	-0.0006639551676400475	2.0
584	1.9996350551196014	-0.0012488934507203088	2.0
588	1.9993135422588886	-0.0023491568817765552	2.0
592	1.9987087795796645	-0.004418742088854899	2.0
596	1.9975712266451684	-0.00831161247649418	2.0
600	1.9954315002314278	-0.015634065209112827	2.0
604	1.9914066948911058	-0.029407530205964323	2.0
608	1.9838360737483938	-0.05531528884186946	2.0
612	1.9695958062968772	-0.10404754014462791	2.0
616	1.9428099966165275	-0.1957124483449032	2.0
620	1.8924261395243276	-0.36813328199700013	2.0
624	1.7976545763055571	-0.6924552549414373	2.0
628	1.624999999909027	-0.9999999999999999	2.0
632	1.4249999999090268	-0.9999999999999999	2.0
636	1.2249999999090266	-1.0	2.0
640	1.0249999999090265	-1.0	0.0
644	0.8249999999090263	-1.0	0.0
648	0.6249999999090261	-0.9999999999999999	0.0
652	0.42499999990902604	-0.9999999999999999	0.0
656	0.23696818625956778	-0.6924552549414374	0.0
660	0.12598052439357527	-0.36813328199700107	0.0
664	0.0669756256187704	-0.1957124483449041	0.0
668	0.035606570528406795	-0.10404754014462833	0.0
672	0.018929690511752254	-0.05531528884187058	0.0
676	0.010063681437244685	-0.02940753020596556	0.0
680	0.005350202847079752	-0.015634065209113927	0.0
684	0.0028443537967078798	-0.00831161247649567	0.0
688	0.001512157342829452	-0.004418742088856476	0.0
692	0.0008039154032509763	-0.002349156881777998	0.0
696	0.0004273893709848253	-0.0012488934507225455	0.0
700	0.00022721504488029074	-0.0006639551676417371	0.0
704	0.00012079541543198681	-0.00035298164497788576	0.0
708	6.421904146682855e-05	-0.0001876573114624954	0.0
712	3.414107457633381e-05	-9.976514939614758e-05	0.0
716	1.8150581922594578e-05	-5.303862107184415e-05	0.0
720	9.64948022780346e-06	-2.819717448642421e-05	0.0
724	5.129999084259767e-06	-1.4990598038466122e-05	0.0
728	2.7272858196095622e-06	-7.969522962087524e-06	0.0
732	1.4499199344258056e-06	-4.236875411170807e-06	0.0
736	7.708278313417655e-07	-2.252470231889993e-06	0.0
740	4.09798866040482e-07	-1.1974914619522965e-06	0.0
744	2.1786332068143061e-07	-6.366280742931461e-07	0.0
748	1.1582371588274448e-07	-3.38453594482878e-07	0.0
752	6.157591985340891e-08	-1.799336613103021e-07	0.0
756	3.273591456535091e-08	-9.565892542553754e-08	0.0
760	1.7403581570467787e-08	-5.085549101288078e-08	0.0
764	9.252410977292427e-09	-2.7036323445705456e-08	0.0
768	4.919022835626149e-09	-1.4373029401838214e-08	0.0
772	2.6153511707104263e-09	-7.640412229613625e-09	0.0
776	1.3908425618984665e-09	-4.060423138299389e-09	0.0
780	7.402336661347253e-10	-2.155867730597821e-09	0.0
784	3.9506673364951804e-10	-1.140878087406691e-09	0.0
788	2.129171240894304e-10	-5.96643710706663e-10	0.0
792	1.1862528365444057e-10	-2.9859967821107314e-10	0.0
796	7.328400485070632e-11	-1.237654545829072e-10	0.0
