t	y	u	r
196	1.9963401296799579	0.010694669272381534	2.0
200	1.9980542856900412	0.005685657912217745	2.0
204	1.9989655906059096	0.003022693369139361	2.0
208	1.999450071974467	0.0016069688582928548	2.0
212	1.9997076391096726	0.0008543205003487092	2.0
216	1.9998445707513075	0.0004541864725941398	2.0
220	1.9999173683714926	0.00024146131551754565	2.0
224	1.9999560701166943	0.00012836922808019392	2.0
228	1.999976645309645	6.824554352585926e-05	2.0
232	1.9999875837973735	3.628170302815477e-05	2.0
236	1.999993399077652	1.9288614415241275e-05	2.0
240	1.9999964906827765	1.0254497860472834e-05	2.0
244	1.999998134287519	5.451647490223208e-06	2.0
248	1.999999008084929	2.8982852958164694e-06	2.0
252	1.999999472626004	1.540829202784553e-06	2.0
256	1.9999997195921861	8.191583613469575e-07	2.0
260	1.9999998508879928	4.3549305777921363e-07	2.0
264	1.9999999206894075	2.315232467916838e-07	2.0
268	1.9999999577982657	1.2308580546013117e-07	2.0
272	1.9999999775266246	6.543669274594732e-08	2.0
276	1.999999988014906	3.4788420828654306e-08	2.0
280	1.9999999935908408	1.8494734519469897e-08	2.0
284	1.9999999965552018	9.832443912136286e-09	2.0
288	1.9999999981311594	5.227268873644925e-09	2.0
292	1.999999998968993	2.7789983392747633e-09	2.0
296	1.9999999994144146	1.4774127912281124e-09	2.0
300	1.9999999996512166	7.854445874896544e-10	2.0
304	1.9999999997771085	4.1757010304162776e-10	2.0
308	1.999999999844037	2.2199529918444172e-10	2.0
312	1.9999999998796187	1.1802057557132657e-10	2.0
316	1.9999999998985352	6.274434525955341e-11	2.0
320	1.999999999908592	3.3357323439778076e-11	2.0
324	1.9999999999139386	1.7734410559516892e-11	2.0
328	1.999999999916781	9.42841637352382e-12	2.0
332	1.9999999999182922	5.0132757761741415e-12	2.0
336	1.9999999999190958	2.665883942133373e-12	2.0
340	1.9999999999195233	1.4178148680034521e-12	2.0
344	1.9999999999197506	7.542313109225967e-13	2.0
348	1.9999999999198717	4.021400353828601e-13	2.0
352	1.999999999919936	2.1419469247546596e-13	2.0
356	1.9999999999199702	1.1444716411679308e-13	2.0
360	1.9999999999199887	6.124848232550088e-14	2.0
364	1.9999999999199987	3.254919346440903e-14	2.0
368	1.9999999999200038	1.784955770628883e-14	2.0
372	1.9999999999200067	9.799757172080142e-15	2.0
376	1.9999999999200082	5.5998612411886525e-15	2.0
380	1.999999999920009	3.149921948168617e-15	2.0
384	1.99999999992001	2.7999306205943262e-15	2.0
388	1.9999999999200109	2.7999306205943262e-15	2.0
392	1.9999999999200118	2.7999306205943262e-15	2.0
396	1.9999999999200126	2.7999306205943262e-15	2.0
400	1.9999999999200135	2.7999306205943262e-15	2.0
404	1.9999999999200144	2.7999306205943262e-15	2.0
408	1.9999999999200153	2.7999306205943262e-15	2.0
412	1.9999999999200162	2.7999306205943262e-15	2.0
416	1.999999999920017	2.7999306205943262e-15	2.0
420	1.9999999999200178	1.7499566378714538e-15	2.0
424	1.9999999999200178	-3.499913275742908e-16	2.0
428	1.9999999999200175	-4.549887258465781e-15	2.0
