t	y	u	r
156	0.7710269062659216	1.0	0.0
160	0.9744559328175109	1.0	2.0
164	1.1782441837585902	1.0	2.0
168	1.3807174610359452	1.0000000000000002	2.0
172	1.5821997623894954	1.0	2.0
176	1.7687700220835447	0.6742338717486349	2.0
180	1.8772248651748429	0.3579949072932688	2.0
184	1.9348106423433484	0.190082935637051	2.0
188	1.9653867018127185	0.1009274760179763	2.0
192	1.981621533721625	0.053589005142520026	2.0
196	1.9902416689412892	0.02845391151616127	2.0
200	1.994818663124058	0.015108044615052923	2.0
204	1.9972488890097622	0.008021850070096141	2.0
208	1.9985392550490686	0.00425932542474586	2.0
212	1.9992243948647497	0.00226155474302802	2.0
216	1.9995881804517324	0.0012008074860859785	2.0
220	1.9997813380383551	0.0006375873160199248	2.0
224	1.9998838980478915	0.00033853685146021143	2.0
228	1.999938353871967	0.00017975137979841672	2.0
232	1.999967268034409	9.544177657422758e-05	2.0
236	1.9999826204563753	5.067628813657641e-05	2.0
240	1.9999907720623813	2.6907359349464558e-05	2.0
244	1.9999951002837277	1.4286878810859016e-05	2.0
248	1.9999973984198267	7.585839379161859e-06	2.0
252	1.9999986186507497	4.027818800647877e-06	2.0
256	1.9999992665512403	2.138632718001703e-06	2.0
260	1.9999996105640312	1.1355401341325908e-06	2.0
264	1.999999793222946	6.029326045614631e-07	2.0
268	1.9999998902085232	3.201363950917453e-07	2.0
272	1.9999999417045164	1.6998137163726043e-07	2.0
276	1.9999999690471104	9.025423711866134e-08	2.0
280	1.9999999835650837	4.792188210835791e-08	2.0
284	1.9999999912736268	2.5444863132455058e-08	2.0
288	1.9999999953665968	1.351034202294129e-08	2.0
292	1.999999997539822	7.17352451999921e-09	2.0
296	1.9999999986937298	3.808892837109104e-09	2.0
300	1.999999999306415	2.02238947143407e-09	2.0
304	1.9999999996317295	1.0738180796861144e-09	2.0
308	1.9999999998044604	5.701596156157608e-10	2.0
312	1.9999999998961744	3.027341013796818e-10	2.0
316	1.9999999999448717	1.6074074759329344e-10	2.0
320	1.999999999970728	8.534704487821068e-11	2.0
324	1.999999999984457	4.5315719827966275e-11	2.0
328	1.9999999999917466	2.4060081001640248e-11	2.0
332	1.9999999999956166	1.2774550215190815e-11	2.0
336	1.999999999997672	6.781797144837582e-12	2.0
340	1.9999999999987634	3.600122742678253e-12	2.0
344	1.999999999999343	1.9102620820517474e-12	2.0
348	1.9999999999996505	1.012938386898897e-12	2.0
352	1.9999999999998137	5.368573450564154e-13	2.0
356	1.9999999999999003	2.8432132652955243e-13	2.0
360	1.9999999999999467	1.4949573434231993e-13	2.0
364	1.999999999999971	7.859004725939718e-14	2.0
368	1.9999999999999838	4.121611367381719e-14	2.0
372	1.9999999999999911	2.0608056836908596e-14	2.0
376	1.9999999999999944	1.012938386898897e-14	2.0
380	1.9999999999999964	4.5407582860985026e-15	2.0
384	1.9999999999999976	1.3971563957226166e-15	2.0
388	1.9999999999999978	0.0	2.0
392	1.9999999999999978	0.0	2.0
396	1.9999999999999978	0.0	2.0
400	1.9999999999999978	0.0	2.0
404	1.9999999999999978	0.0	2.0
408	1.9999999999999978	0.0	2.0
412	1.9999999999999978	0.0	2.0
416	1.9999999999999978	-1.3971563957226166e-15	2.0
420	1.9999999999999967	-4.5407582860985026e-15	2.0
424	1.999999999999995	-1.012938386898897e-14	2.0
428	1.9999999999999918	-2.0608056836908596e-14	2.0
432	1.999999999999986	-4.121611367381719e-14	2.0
436	1.9999999999999747	-7.859004725939718e-14	2.0
440	1.999999999999954	-1.4949573434231993e-13	2.0
444	1.9999999999999147	-2.8432132652955243e-13	2.0
448	1.9999999999998406	-5.368573450564154e-13	2.0
452	1.9999999999997016	-1.012938386898897e-12	2.0
456	1.999999999999439	-1.9102620820517474e-12	2.0
460	1.999999999998944	-3.600122742678253e-12	2.0
464	1.9999999999980127	-6.781797144837582e-12	2.0
468	1.999999999996258	-1.2774550215190815e-11	2.0
472	1.9999999999929543	-2.4060081001640248e-11	2.0
476	1.9999999999867317	-4.5315719827966275e-11	2.0
480	1.9999999999750127	-8.534704487821068e-11	2.0
484	1.9999999999529408	-1.6074074759329344e-10	2.0
488	1.9999999999113718	-3.027341013796818e-10	2.0
492	1.9999999998330824	-5.701596156157608e-10	2.0
496	1.9999999996856352	-1.0738180796861144e-09	2.0
500	1.999999999407939	-2.02238947143407e-09	2.0
504	1.9999999988849362	-3.808892837109104e-09	2.0
508	1.999999997899933	-7.17352451999921e-09	2.0
512	1.9999999960448156	-1.351034202294129e-08	2.0
516	1.9999999925509586	-2.5444863132455058e-08	2.0
520	1.999999985970763	-4.792188210835791e-08	2.0
524	1.9999999735778728	-9.025423711866134e-08	2.0
528	1.999999950237581	-1.6998137163726043e-07	2.0
532	1.9999999062793705	-3.201363950917453e-07	2.0
536	1.9999998234901628	-6.029326045614631e-07	2.0
540	1.9999996675681464	-1.1355401341325908e-06	2.0
544	1.999999373910603	-2.138632718001703e-06	2.0
548	1.999998820847254	-4.027818800647877e-06	2.0
552	1.9999977792289636	-7.585839379161859e-06	2.0
556	1.999995817485044	-1.4286878810859016e-05	2.0
560	1.9999921228118207	-2.6907359349464558e-05	2.0
564	1.9999851644060396	-5.067628813657641e-05	2.0
568	1.999972059211593	-9.544177657422758e-05	2.0
572	1.9999473773912326	-0.00017975137979841672	2.0
576	1.9999008925978345	-0.00033853685146021143	2.0
580	1.9998133449216198	-0.0006375873160199248	2.0
584	1.9996484609875338	-0.0012008074860859785	2.0
588	1.9993379249128496	-0.00226155474302802	2.0
592	1.9987530731853909	-0.00425932542474586	2.0
596	1.997651585883281	-0.008021850070096141	2.0
600	1.9955770869637337	-0.015108044615052923	2.0
604	1.9916700552994007	-0.02845391151616127	2.0
608	1.9843117017797798	-0.053589005142520026	2.0
612	1.9704532611088208	-0.10092747601797669	2.0
616	1.944352805712328	-0.19008293563705111	2.0
620	1.8951962095209656	-0.357994907293268	2.0
624	1.8026165624453265	-0.6742338717486349	2.0
628	1.6324533078600574	-1.0	2.0
632	1.4311683230240912	-1.0000000000000002	2.0
636	1.228973093734078	-1.0	2.0
640	1.0255440671824891	-1.0	0.0
644	0.8217558162414096	-1.0	0.0
648	0.6192825389640539	-1.0000000000000002	0.0
652	0.41780023761050317	-1.0	0.0
656	0.23122997791645405	-0.6742338717486349	0.0
660	0.12277513482515603	-0.3579949072932692	0.0
664	0.06518935765665106	-0.1900829356370524	0.0
668	0.03461329818728114	-0.10092747601797832	0.0
672	0.01837846627837424	-0.053589005142521504	0.0
676	0.00975833105871009	-0.02845391151616278	0.0
680	0.0051813368759414	-0.015108044615054899	0.0
684	0.0027511109902371854	-0.008021850070097881	0.0
688	0.001460744950930967	-0.004259325424747928	0.0
692	0.0007756051352498694	-0.0022615547430298397	0.0
696	0.00041181954826719007	-0.001200807486087645	0.0
700	0.00021866196164412556	-0.0006375873160215119	0.0
704	0.00011610195210800701	-0.0003385368514614931	0.0
708	6.164612803222524e-05	-0.00017975137979937632	0.0
712	3.2731965590307766e-05	-9.54417765755155e-05	0.0
716	1.7379543624319267e-05	-5.067628813778323e-05	0.0
720	9.227937618277142e-06	-2.6907359350948183e-05	0.0
724	4.899716271547806e-06	-1.4286878811235023e-05	0.0
728	2.6015801727417957e-06	-7.585839379158566e-06	0.0
732	1.381349249923567e-06	-4.027818800269883e-06	0.0
736	7.334487599477135e-07	-2.138632715986145e-06	0.0
740	3.8943596982170255e-07	-1.1355401291281615e-06	0.0
744	2.0677705684499148e-07	-6.029325942219325e-07	0.0
748	1.0979148278131404e-07	-3.201363743360787e-07	0.0
752	5.829549570377537e-08	-1.6998133096839688e-07	0.0
756	3.0952912474502184e-08	-9.025416001143842e-08	0.0
