pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
59202.0,29282.0,34153.0,53784.0
50821.0,45105.0,46828.0,45246.0
51791.0,44019.0,45256.0,45711.0
50137.0,45255.0,46916.0,44271.0
52930.0,43320.0,46253.0,40731.0
48371.0,44365.0,47822.0,41597.0
47900.0,47326.0,45260.0,41795.0
47579.0,44670.0,47870.0,39426.0
45430.0,44569.0,49764.0,36614.0
43681.0,45988.0,49451.0,35681.0
57463.0,28510.0,27428.0,51551.0
48750.0,41062.0,42844.0,41492.0
46055.0,42447.0,45776.0,37846.0
44841.0,42314.0,44971.0,38092.0
43861.0,40570.0,46300.0,40452.0
44490.0,43939.0,45962.0,37019.0
42579.0,43563.0,46618.0,35978.0
42664.0,40766.0,47407.0,36457.0
42277.0,44403.0,46867.0,34440.0
43984.0,42257.0,47585.0,31554.0
55302.0,21803.0,27307.0,49504.0
44988.0,39187.0,44200.0,37892.0
42440.0,38254.0,45842.0,41490.0
41299.0,41940.0,43683.0,40321.0
43904.0,41381.0,43960.0,37141.0
41599.0,39827.0,48781.0,36885.0
37537.0,41972.0,50263.0,34499.0
39173.0,44172.0,48332.0,34672.0
41931.0,42492.0,47034.0,35297.0
40349.0,44596.0,47817.0,34733.0
49662.0,33760.0,39274.0,45329.0
42849.0,40492.0,47096.0,41193.0
42235.0,44959.0,44723.0,41989.0
46398.0,39971.0,47271.0,40494.0
46865.0,42498.0,44812.0,41520.0
44805.0,41079.0,47754.0,42019.0
41011.0,46577.0,47795.0,42672.0
45064.0,44660.0,47805.0,41030.0
46484.0,44224.0,47092.0,42336.0
44581.0,44012.0,49856.0,42290.0
40711.0,46507.0,52900.0,40191.0
41460.0,47406.0,49978.0,46602.0
46236.0,45973.0,49812.0,43788.0
47041.0,44048.0,51626.0,44136.0
46423.0,46667.0,51184.0,44406.0
45576.0,46532.0,52331.0,45819.0
44536.0,49595.0,49613.0,47316.0
48440.0,47665.0,51109.0,43799.0
49172.0,47817.0,49907.0,45210.0
50775.0,48245.0,48727.0,44979.0
51105.0,47553.0,48764.0,47011.0
50965.0,47477.0,49650.0,47119.0
48335.0,47374.0,52110.0,47986.0
47311.0,48471.0,53410.0,47512.0
49070.0,49205.0,52915.0,47839.0
49004.0,48894.0,52826.0,48198.0
49525.0,48271.0,52101.0,49963.0
48979.0,47800.0,53086.0,49995.0
49038.0,47791.0,53457.0,50735.0
46887.0,50660.0,51365.0,53299.0
50932.0,49681.0,51784.0,50267.0
51533.0,50037.0,52233.0,49297.0
50985.0,48617.0,52834.0,50997.0
50228.0,49242.0,53736.0,50835.0
50874.0,51076.0,52625.0,49751.0
